user_id,song_name,rating
1,"Wrong Trousers, The (1993)",5.009078502655029
1,Wallace & Gromit: The Best of Aardman Animation (1996),4.850590705871582
1,Pather Panchali (1955),5.173867225646973
1,Maya Lin: A Strong Clear Vision (1994),4.885138034820557
1,"World of Apu, The (Apur Sansar) (1959)",4.904435157775879
2,Angel Baby (1995),5.357905864715576
2,Anna (1996),4.766186714172363
2,"World of Apu, The (Apur Sansar) (1959)",4.776137351989746
2,Pather Panchali (1955),5.107481479644775
2,Mina Tannenbaum (1994),5.305710792541504
3,Wallace & Gromit: The Best of Aardman Animation (1996),3.953726291656494
3,Pulp Fiction (1994),3.9867970943450928
3,In the Line of Duty 2 (1987),4.001406669616699
3,Mina Tannenbaum (1994),4.24666166305542
3,"Clockwork Orange, A (1971)",4.0329108238220215
4,Mina Tannenbaum (1994),5.720118522644043
4,Raise the Red Lantern (1991),5.641096115112305
4,Kaspar Hauser (1993),5.702810764312744
4,Stalker (1979),5.901599407196045
4,Wallace & Gromit: The Best of Aardman Animation (1996),5.7056803703308105
5,"Wrong Trousers, The (1993)",4.641678333282471
5,Santa with Muscles (1996),4.455588340759277
5,Wallace & Gromit: The Best of Aardman Animation (1996),4.652902126312256
5,Faust (1994),4.558270454406738
5,Ran (1985),4.447849750518799
6,Aparajito (1956),4.563536167144775
6,"World of Apu, The (Apur Sansar) (1959)",4.76833438873291
6,"Boys, Les (1997)",4.709912300109863
6,Angel Baby (1995),4.681933879852295
6,Pather Panchali (1955),4.590196132659912
7,Mina Tannenbaum (1994),5.5206122398376465
7,Legal Deceit (1997),4.839383125305176
7,They Made Me a Criminal (1939),5.037513256072998
7,Angel Baby (1995),5.596009254455566
7,Anna (1996),4.872916221618652
8,Mina Tannenbaum (1994),4.839533805847168
8,"World of Apu, The (Apur Sansar) (1959)",5.309885025024414
8,Pather Panchali (1955),5.011236667633057
8,When We Were Kings (1996),5.091913223266602
8,Wallace & Gromit: The Best of Aardman Animation (1996),4.850681304931641
9,Mina Tannenbaum (1994),5.2542548179626465
9,Angel Baby (1995),5.426032066345215
9,Anne Frank Remembered (1995),5.126456260681152
9,Fresh (1994),5.096113204956055
9,Crossfire (1947),5.159717559814453
10,Mina Tannenbaum (1994),5.3397932052612305
10,Angel Baby (1995),5.196756362915039
10,They Made Me a Criminal (1939),4.857385158538818
10,Pather Panchali (1955),4.966257572174072
10,Anna (1996),4.925746917724609
11,Anna (1996),4.348550319671631
11,Schindler's List (1993),4.329396724700928
11,Mina Tannenbaum (1994),4.652990341186523
11,Angel Baby (1995),4.589182376861572
11,Pather Panchali (1955),4.475251197814941
12,Good Will Hunting (1997),5.136910438537598
12,Golden Earrings (1947),5.068081855773926
12,"Shawshank Redemption, The (1994)",5.207714557647705
12,Pather Panchali (1955),5.001872539520264
12,Schindler's List (1993),5.126446723937988
13,"Wrong Trousers, The (1993)",4.907242774963379
13,Pather Panchali (1955),4.76237154006958
13,"Whole Wide World, The (1996)",4.8415422439575195
13,Angel Baby (1995),5.076687335968018
13,"Great Day in Harlem, A (1994)",4.892308235168457
14,"Wrong Trousers, The (1993)",5.11876916885376
14,Wallace & Gromit: The Best of Aardman Animation (1996),5.193160533905029
14,Crooklyn (1994),5.164842128753662
14,Pather Panchali (1955),4.9360032081604
14,"Close Shave, A (1995)",4.944374084472656
15,Persuasion (1995),4.271276473999023
15,To Live (Huozhe) (1994),4.1750688552856445
15,"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",4.1595072746276855
15,N�nette et Boni (1996),4.399033069610596
15,Some Folks Call It a Sling Blade (1993),4.265522003173828
16,Mina Tannenbaum (1994),5.623512268066406
16,"World of Apu, The (Apur Sansar) (1959)",5.203370571136475
16,Schindler's List (1993),5.172508716583252
16,Angel Baby (1995),5.686531066894531
16,Pather Panchali (1955),5.191032886505127
17,"Saint of Fort Washington, The (1993)",4.013643264770508
17,Kaspar Hauser (1993),4.084609031677246
17,"City of Lost Children, The (1995)",3.99680757522583
17,Wallace & Gromit: The Best of Aardman Animation (1996),4.097253799438477
17,Faust (1994),4.310018062591553
18,In the Bleak Midwinter (1995),4.634334087371826
18,Pather Panchali (1955),4.778862476348877
18,Anna (1996),4.789855480194092
18,Mina Tannenbaum (1994),4.75760555267334
18,"Story of Xinghua, The (1993)",4.670742034912109
